Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Allow customer reviews?,Categories,Regular price,Sale price,Images
simple,S2C-89,Brown Cotton 3/4th Shorts For Men,1,1,visible,This is product description,"<div class=""html-content pdp-product-highlights"">
<ul class="""">
<li class="""" data-spm-anchor-id=""a2a0e.pdp.product_detail.i0.330b3d04xhFnfZ"">Material : Cotton</li>
<li class="""">Fit : Regular</li>
<li class="""">3/4th By Length</li>
<li class="""">Style : Solid</li>
<li class="""">Closure : Button With Belt Loop</li>
<li class="""">Color : Brown</li>
<li class="""">Type : Casual</li>
<li class="""">Wash Care : Hand/ Machine Wash</li>
</ul>
</div>
<div class=""html-content detail-content"">Spruce your cool and trendy look as you dress up in these shorts from Hardik Fancy. Made of cotton, these ensure super comfort all day long. Featuring regular fit, these shorts will go well with a chequered shirt and Crocs.</div>",,,taxable,,1,100,1,Shorts,1008.0000000000001,900,"https://www.reddoko.com/uploads/33242/1556530450.42.jpg,https://www.reddoko.com/uploads/33244/1556530897.48.jpg,https://www.reddoko.com/uploads/33245/1556530897.49.jpg,https://www.reddoko.com/uploads/33243/1556530897.46.jpg"
simple,S2C-89-15123,Green Cotton 3/4th Shorts For Men,1,1,visible,This is product description,"<div class=""html-content pdp-product-highlights"">
<ul class="""">
<li class="""" data-spm-anchor-id=""a2a0e.pdp.product_detail.i0.330b3d04xhFnfZ"">Material : Cotton</li>
<li class="""">Fit : Regular</li>
<li class="""">3/4th By Length</li>
<li class="""">Style : Solid</li>
<li class="""">Closure : Button With Belt Loop</li>
<li class="""">Color : Brown</li>
<li class="""">Type : Casual</li>
<li class="""">Wash Care : Hand/ Machine Wash</li>
</ul>
</div>
<div class=""html-content detail-content"">Spruce your cool and trendy look as you dress up in these shorts from Hardik Fancy. Made of cotton, these ensure super comfort all day long. Featuring regular fit, these shorts will go well with a chequered shirt and Crocs.</div>",,,taxable,,1,100,1,Shorts,1008.0000000000001,900,"https://www.reddoko.com/uploads/33246/1556531040.43.jpg,https://www.reddoko.com/uploads/33247/1556531040.44.jpg,https://www.reddoko.com/uploads/33248/1556531040.45.jpg,https://www.reddoko.com/uploads/33249/1556531040.46.jpg"
simple,S2C-97,Green Straight F.V Camouflage Print Pants For Men,1,1,visible,This is product description,"<div class=""html-content pdp-product-highlights"">
<ul class="""">
<li class="""" data-spm-anchor-id=""a2a0e.pdp.product_detail.i0.7f74599edM4PF2"">Fit: Regualr</li>
<li class="""">Material : Mixed</li>
<li class="""">Style: Camo Printed</li>
<li class="""">Type: Casual</li>
<li class="""">Wash Care: Hand/Machine Wash</li>
</ul>
</div>
<div class=""html-content detail-content"">A trendy and cool pick for most men will be this pair of straight pants by Hardik Fancy Collection. Featuring regular fit, these pants will keep you comfortable throughout the day, owing to their construction. These pants&nbsp; along with a comfortable cotton T-shirt will make a great combination for you to flaunt on a regular day.</div>",,,taxable,,1,100,1,Jeans,2128.0,1900,"https://www.reddoko.com/uploads/33273/1556533303.52.jpg,https://www.reddoko.com/uploads/33274/1556533303.53.jpg,https://www.reddoko.com/uploads/33275/1556533303.54.jpg,https://www.reddoko.com/uploads/33276/1556533303.55.jpg"
simple,S2C-98,Slim Fit Check Chinos Pant For Men-Blue,1,1,visible,This is product description,"<div class=""html-content pdp-product-highlights"">
<ul class="""">
<li class="""" data-spm-anchor-id=""a2a0e.pdp.product_detail.i0.705d404amDS8S7"">Length: Full Length</li>
<li class="""">Check Pattern</li>
<li class="""">Style: Solid</li>
<li class="""">Perfect For: Casual Wear</li>
<li class="""">Side Pockets</li>
<li class="""">Wash Care: Machine Wash</li>
</ul>
</div>
<div class=""html-content detail-content"">
<p>Upgrade your layered look with this chinos pant from the house of Shree Ganesh Fancy. It's perpetually pulled together and offers endless comfort. Layer it over a classic shirt-and-tie combo to create rippling waves of attraction wherever you step.</p>
</div>",,,taxable,,1,100,1,Jeans,1904.0000000000002,1700,"https://www.reddoko.com/uploads/33277/1556534903.61.jpg,https://www.reddoko.com/uploads/33278/1556534903.62.jpg,https://www.reddoko.com/uploads/33279/1556534903.63.jpg"
simple,S2C-98-15132,Slim Fit Check Chinos Pant For Men-Brown,1,1,visible,This is product description,"<div class=""html-content pdp-product-highlights"">
<ul class="""">
<li class="""" data-spm-anchor-id=""a2a0e.pdp.product_detail.i0.705d404amDS8S7"">Length: Full Length</li>
<li class="""">Check Pattern</li>
<li class="""">Style: Solid</li>
<li class="""">Perfect For: Casual Wear</li>
<li class="""">Side Pockets</li>
<li class="""">Wash Care: Machine Wash</li>
</ul>
</div>
<div class=""html-content detail-content"">
<p>Upgrade your layered look with this chinos pant from the house of Shree Ganesh Fancy. It's perpetually pulled together and offers endless comfort. Layer it over a classic shirt-and-tie combo to create rippling waves of attraction wherever you step.</p>
</div>",,,taxable,,1,100,1,Jeans,1904.0000000000002,1700,"https://www.reddoko.com/uploads/33280/1556535062.64.jpg,https://www.reddoko.com/uploads/33281/1556535062.66.jpg,https://www.reddoko.com/uploads/33282/1556535062.67.jpg"
simple,S2C-98-15132-15133,Slim Fit Check Chinos Pant For Men-Grey,1,1,visible,This is product description,"<div class=""html-content pdp-product-highlights"">
<ul class="""">
<li class="""" data-spm-anchor-id=""a2a0e.pdp.product_detail.i0.705d404amDS8S7"">Length: Full Length</li>
<li class="""">Check Pattern</li>
<li class="""">Style: Solid</li>
<li class="""">Perfect For: Casual Wear</li>
<li class="""">Side Pockets</li>
<li class="""">Wash Care: Machine Wash</li>
</ul>
</div>
<div class=""html-content detail-content"">
<p>Upgrade your layered look with this chinos pant from the house of Shree Ganesh Fancy. It's perpetually pulled together and offers endless comfort. Layer it over a classic shirt-and-tie combo to create rippling waves of attraction wherever you step.</p>
</div>",,,taxable,,1,100,1,Jeans,1904.0000000000002,1700,"https://www.reddoko.com/uploads/33283/1556535062.68.jpg,https://www.reddoko.com/uploads/33284/1556535062.69.jpg,https://www.reddoko.com/uploads/33285/1556535062.70.jpg"
simple,S2C-98-15132-15133-15134,Slim Fit Check Chinos Pant For Men-Dark Blue,1,1,visible,This is product description,"<div class=""html-content pdp-product-highlights"">
<ul class="""">
<li class="""" data-spm-anchor-id=""a2a0e.pdp.product_detail.i0.705d404amDS8S7"">Length: Full Length</li>
<li class="""">Check Pattern</li>
<li class="""">Style: Solid</li>
<li class="""">Perfect For: Casual Wear</li>
<li class="""">Side Pockets</li>
<li class="""">Wash Care: Machine Wash</li>
</ul>
</div>
<div class=""html-content detail-content"">
<p>Upgrade your layered look with this chinos pant from the house of Shree Ganesh Fancy. It's perpetually pulled together and offers endless comfort. Layer it over a classic shirt-and-tie combo to create rippling waves of attraction wherever you step.</p>
</div>",,,taxable,,1,100,1,Jeans,1904.0000000000002,1700,"https://www.reddoko.com/uploads/33286/1556535298.71.jpg,https://www.reddoko.com/uploads/33287/1556535298.72.jpg,https://www.reddoko.com/uploads/33288/1556535298.73.jpg"
simple,S2C-98-15132-15133-15134-15135,Slim Fit Check Chinos Pant For Men-Emerald Green,1,1,visible,This is product description,"<div class=""html-content pdp-product-highlights"">
<ul class="""">
<li class="""" data-spm-anchor-id=""a2a0e.pdp.product_detail.i0.705d404amDS8S7"">Length: Full Length</li>
<li class="""">Check Pattern</li>
<li class="""">Style: Solid</li>
<li class="""">Perfect For: Casual Wear</li>
<li class="""">Side Pockets</li>
<li class="""">Wash Care: Machine Wash</li>
</ul>
</div>
<div class=""html-content detail-content"">
<p>Upgrade your layered look with this chinos pant from the house of Shree Ganesh Fancy. It's perpetually pulled together and offers endless comfort. Layer it over a classic shirt-and-tie combo to create rippling waves of attraction wherever you step.</p>
</div>",,,taxable,,1,100,1,Jeans,1904.0000000000002,1700,"https://www.reddoko.com/uploads/33289/1556535420.81.jpg,https://www.reddoko.com/uploads/33290/1556535420.82.jpg,https://www.reddoko.com/uploads/33291/1556535420.83.jpg"
simple,S1-266,Stylee Lifestyle Maroon Crepe Embroidered Dress Material (1797),1,1,visible,This is product description,"<p>Stylee Lifestyle presents the all new collection of Embroidered Dress Material. Pair them with matching accessories to look trendy and gorgeous. Elegant Contrast Abstract Print With Multi Resham Embroidery With Jari &amp; Crystal.</p>
<ul class=""a-unor",,,taxable,,1,100,1,Dress,5640.320000000001,5036,"https://www.reddoko.com/uploads/23958/1537773146.1797-1.jpg,https://www.reddoko.com/uploads/23959/1537773146.1797-2.jpg"
simple,S1-267,Stylee Lifestyle Beige Crepe Embroidered Dress Material (1791),1,1,visible,This is product description,"<p>Stylee Lifestyle presents the all new collection of Embroidered Dress Material. Pair them with matching accessories to look trendy and gorgeous. Elegant Contrast Abstract Print With Multi Resham Embroidery With Jari &amp; Crystal.</p>
<ul class=""a-unor",,,taxable,,1,100,1,Dress,5503.68,4914,"https://www.reddoko.com/uploads/23960/1537776720.1791-1.jpg,https://www.reddoko.com/uploads/23961/1537776720.1791-2.jpg"
