Title,Category,Price,Seller_name,image
 Original Pakistan Genuine Leather Jacket,Men's Clothing,"Rs. 6,500",Shivchhetri,https://cdn.hamrobazaar.com/2640621_04177e5dd4c1a32e_large.jpg
 Nike Men's Short,Men's Clothing,Rs. 850,Angfuri,https://cdn.hamrobazaar.com/2577609_0304e4ch8f88175h_large.jpg
 Waterproof Gortex Jacket For Men,Contact,"Rs. 1,400",AfnoPahiran,https://cdn.hamrobazaar.com/2636732_0414c33h6gaeh1c6_large.jpg
 Original Pakistan Genuine Leather Jacket,Men's Clothing,"Rs. 6,500",Shivchhetri,https://cdn.hamrobazaar.com/2640621_04177e5dd4c1a32e_large.jpg
 Waterproof Gortex Jacket For Men,Contact,"Rs. 1,400",AfnoPahiran,https://cdn.hamrobazaar.com/2636732_0414c33h6gaeh1c6_large.jpg
 Mens Orginal Jersey,Men's Clothing,"Rs. 3,500",BipinManandhar,https://cdn.hamrobazaar.com/2673310_0525g8e3a52cg5df_large.jpg
 Nike Men's Short,Men's Clothing,Rs. 850,Angfuri,https://cdn.hamrobazaar.com/2577609_0304e4ch8f88175h_large.jpg
 Nike Windproof Jacket On Sale,Men's Clothing,"Rs. 1,900",SuyogTuladhar,https://cdn.hamrobazaar.com/2511812_0121fehecaa6h5he_large.jpg
 Mens Orginal Jersey,Men's Clothing,"Rs. 3,500",BipinManandhar,https://cdn.hamrobazaar.com/2673310_0525g8e3a52cg5df_large.jpg
 Orginal High Copy Jeans Pant Matra 1700/- Satdobato Esp Jeans Tailors,Men's Clothing,"Rs. 1,700",ebinrana,https://cdn.hamrobazaar.com/2674685_05289b4affbacchd_large.jpg
 Leather Jacket,Contact,"Rs. 5,000",Aneaud,https://cdn.hamrobazaar.com/2579206_0306c31ha13d35ah_large.jpg
 Urgent Sale,Men's Clothing,"Rs. 2,000",Diplama,https://cdn.hamrobazaar.com/2657717_050233h577e4gc83_large.jpg
 Orginal High Copy Jeans Pant Matra 1700/- Satdobato Esp Jeans Tailors,Men's Clothing,"Rs. 1,700",ebinrana,https://cdn.hamrobazaar.com/2674685_05289b4affbacchd_large.jpg
 Leather Jacket,Contact,"Rs. 5,000",Aneaud,https://cdn.hamrobazaar.com/2579206_0306c31ha13d35ah_large.jpg
 Urgent Sale,Men's Clothing,"Rs. 2,000",Diplama,https://cdn.hamrobazaar.com/2657717_050233h577e4gc83_large.jpg
 Pepe Jeans,Men's Clothing,"Rs. 4,500",KiranShrestha,https://cdn.hamrobazaar.com/2657871_05031f8h85d5ag5c_large.jpg
 Nike Windproof Jacket On Sale,Men's Clothing,"Rs. 1,900",SuyogTuladhar,https://cdn.hamrobazaar.com/2511812_0121fehecaa6h5he_large.jpg
 Pure Sheep Leather Biker Jacket.,Men's Clothing,"Rs. 18,000",Prashantkarmacharya,https://cdn.hamrobazaar.com/2453028_121663e2ba73666e_large.jpg
 Pure Sheep Leather Biker Jacket.,Men's Clothing,"Rs. 18,000",Prashantkarmacharya,https://cdn.hamrobazaar.com/2453028_121663e2ba73666e_large.jpg
 Pepe Jeans,Men's Clothing,"Rs. 4,500",KiranShrestha,https://cdn.hamrobazaar.com/2657871_05031f8h85d5ag5c_large.jpg
 Dri Fit Sports Shorts,Men's Clothing,Rs. 350,TopMountainGear,https://cdn.hamrobazaar.com/2586293_0310df49a4afggf8_large.jpg
 Dri Fit Sports Shorts,Men's Clothing,Rs. 350,TopMountainGear,https://cdn.hamrobazaar.com/2586293_0310df49a4afggf8_large.jpg
 Half Pant For Men,Men's Clothing,Rs. 500,,https://cdn.hamrobazaar.com/2659508_0505g63eg4chg312_large.jpg
