Title,Category,Price,Seller_name,image
 3d Sunglasses,Sunglasses,"Rs. 5,000",pashangsherpa,https://cdn.hamrobazaar.com/2552097_0216gb4d6713ac77_large.jpg
 3d Sunglasses,Sunglasses,"Rs. 5,000",pashangsherpa,https://cdn.hamrobazaar.com/2552097_0216gb4d6713ac77_large.jpg
 Glasses Retro Vintage Type,Contact,Rs. 900,aaron,https://cdn.hamrobazaar.com/2619213_0402dc2gaga35349_large.jpg
 Kabir Singh Sunglasses,Sunglasses,Rs. 499,OnlineHub,https://cdn.hamrobazaar.com/2575080_0303ecaa56337c4h_large.jpg
 Prado Original Sunglasses Hard Case,Sunglasses,Rs. 550,Stuffs,https://cdn.hamrobazaar.com/2632526_0411hbg94ehd4ea1_large.jpg
 Blue Ray Light Blocking Glass,Sunglasses,"Rs. 1,099",TamrakarFahion,https://cdn.hamrobazaar.com/2655112_04294b3eb1e14164_large.jpg
 Glasses Retro Vintage Type,Contact,Rs. 900,aaron,https://cdn.hamrobazaar.com/2619213_0402dc2gaga35349_large.jpg
 Blue Ray Light Blocking Glass,Sunglasses,"Rs. 1,099",TamrakarFahion,https://cdn.hamrobazaar.com/2655112_04294b3eb1e14164_large.jpg
 Wooden Sunglasses,Contact,"Rs. 13,500",Tsering,https://cdn.hamrobazaar.com/2528620_013121ba698bc988_large.jpg
 Prado Original Sunglasses Hard Case,Sunglasses,Rs. 550,Stuffs,https://cdn.hamrobazaar.com/2632526_0411hbg94ehd4ea1_large.jpg
 Wooden Sunglasses,Contact,"Rs. 13,500",Tsering,https://cdn.hamrobazaar.com/2528620_013121ba698bc988_large.jpg
 Blue Ray Light Blocking Glass Metal Frame,Sunglasses,"Rs. 1,099",TamrakarFahion,https://cdn.hamrobazaar.com/2655113_042987dd1h2gf15h_large.jpg
 Original Spirit By Steffano Ricci Sunglasses,Sunglasses,"Rs. 1,400",Sarunshakya,https://cdn.hamrobazaar.com/2377996_102725dga72db85g_large.jpg
 Blue Ray Light Blocking Glass Metal Frame,Sunglasses,"Rs. 1,099",TamrakarFahion,https://cdn.hamrobazaar.com/2655113_042987dd1h2gf15h_large.jpg
 Original Rayban Sunglasses,Sunglasses,"Rs. 15,000",BishantGiri,https://cdn.hamrobazaar.com/2585193_0310gcb2g86bdd2d_large.jpg
 Rayban Golden/black Aviator Polaroid Sunglasses,Sunglasses,"Rs. 11,500",SumitAle,https://cdn.hamrobazaar.com/2661731_05089g2c68he878a_large.jpg
 Kabir Singh Sunglasses,Sunglasses,Rs. 499,OnlineHub,https://cdn.hamrobazaar.com/2575080_0303ecaa56337c4h_large.jpg
 Original Spirit By Steffano Ricci Sunglasses,Sunglasses,"Rs. 1,400",Sarunshakya,https://cdn.hamrobazaar.com/2377996_102725dga72db85g_large.jpg
 Sunglasses On Sale,Sunglasses,Rs. 600,shyamshrestha,https://cdn.hamrobazaar.com/2607397_0324h321eb3ce369_large.jpg
 Original Rayban Sunglasses,Sunglasses,"Rs. 15,000",BishantGiri,https://cdn.hamrobazaar.com/2585193_0310gcb2g86bdd2d_large.jpg
 Buy 3 Shades For Rs.2000 Only (combo Offer),Sunglasses,"Rs. 2,000",SumanKarki,https://cdn.hamrobazaar.com/2623849_040519d8a2dga423_large.jpg
 Buy 3 Shades For Rs.2000 Only (combo Offer),Sunglasses,"Rs. 2,000",SumanKarki,https://cdn.hamrobazaar.com/2623849_040519d8a2dga423_large.jpg
 Rayban Golden/black Aviator Polaroid Sunglasses,Sunglasses,"Rs. 11,500",SumitAle,https://cdn.hamrobazaar.com/2661731_05089g2c68he878a_large.jpg
