Title,Category,Price,Seller_name,image
 Limited Edition Seiko 5 Sports Watch With See Through Back,Watches,"Rs. 6,000",Sarunshakya,https://cdn.hamrobazaar.com/2642523_0419d71bcbd6158g_large.jpg
 Watch - Taigerao,Watches,"Rs. 4,500",ChengYuTing,https://cdn.hamrobazaar.com/2670713_0521hec5f23e1c58_large.jpg
 Vintage Ricoh Japan Automatic Wrist Watch,Watches,"Rs. 2,000",VintageStore,https://cdn.hamrobazaar.com/2656858_05018c7bd19h4a84_large.jpg
 Poljot 18 Jewels (ussr),Watches,"Rs. 60,000",prabin,https://cdn.hamrobazaar.com/2672743_05249h42dh8e5bd9_large.jpg
 Vintage Ricoh Japan Automatic Wrist Watch,Watches,"Rs. 2,000",VintageStore,https://cdn.hamrobazaar.com/2656858_05018c7bd19h4a84_large.jpg
 Limited Edition Seiko 5 Sports Watch With See Through Back,Watches,"Rs. 6,000",Sarunshakya,https://cdn.hamrobazaar.com/2642523_0419d71bcbd6158g_large.jpg
 New Apple Watch Se,Watches,"Rs. 30,000",PranavSatyal,https://cdn.hamrobazaar.com/2631803_0410ed2cc2e61ae2_large.jpg
 Watch - Taigerao,Watches,"Rs. 4,500",ChengYuTing,https://cdn.hamrobazaar.com/2670713_0521hec5f23e1c58_large.jpg
 New Apple Watch Se,Watches,"Rs. 30,000",PranavSatyal,https://cdn.hamrobazaar.com/2631803_0410ed2cc2e61ae2_large.jpg
 Reebok Watch,Watches,"Rs. 6,000",rajukoirala,https://cdn.hamrobazaar.com/2645044_0420cb5569b6b215_large.jpg
 Reebok Watch,Watches,"Rs. 6,000",rajukoirala,https://cdn.hamrobazaar.com/2645044_0420cb5569b6b215_large.jpg
 Casio Pro Trek Prw - 6000,Contact,"Rs. 45,000",AmitRai,https://cdn.hamrobazaar.com/2667432_0516h7dbbada6b7g_large.jpg
 Apple Watch 2 44mm,Watches,"Rs. 18,000",Seejan,https://cdn.hamrobazaar.com/2666419_05152ef3769ahbh9_large.jpg
 Apple Watch 2 44mm,Watches,"Rs. 18,000",Seejan,https://cdn.hamrobazaar.com/2666419_05152ef3769ahbh9_large.jpg
 Omega Seamaster Planet Ocean,Contact,"Rs. 2,90,000",Rajeshshah,https://cdn.hamrobazaar.com/2668969_05191c6eda57h3fg_large.jpg
 Casio Pro Trek Prw - 6000,Contact,"Rs. 45,000",AmitRai,https://cdn.hamrobazaar.com/2667432_0516h7dbbada6b7g_large.jpg
 Emporio Armani (ar 11082) American Designer Watch,Watches,"Rs. 27,000",AashishShrestha,https://cdn.hamrobazaar.com/2651216_04253886ef5gf1c4_large.jpg
 Omega Seamaster Planet Ocean,Contact,"Rs. 2,90,000",Rajeshshah,https://cdn.hamrobazaar.com/2668969_05191c6eda57h3fg_large.jpg
 Original Gshock Watch ( Wr20bar Casio),Watches,"Rs. 6,000",JosephShrestha,https://cdn.hamrobazaar.com/2672338_0524fgc61h9e9ghh_large.jpg
 Emporio Armani (ar 11082) American Designer Watch,Watches,"Rs. 27,000",AashishShrestha,https://cdn.hamrobazaar.com/2651216_04253886ef5gf1c4_large.jpg
 Original Gshock Watch ( Wr20bar Casio),Watches,"Rs. 6,000",JosephShrestha,https://cdn.hamrobazaar.com/2672338_0524fgc61h9e9ghh_large.jpg
 Tissot Watch,Watches,"Rs. 3,800",MannorShakya,https://cdn.hamrobazaar.com/2671588_0522216b8f4g3636_large.jpg
 G Shock G Mix(gba 400),Watches,"Rs. 15,000",ShaktiSilwal,https://cdn.hamrobazaar.com/2672058_052317f9d778hd9f_large.jpg
