Title,Category,Price,Seller_name,image
 Bridal Lehenga Set,Women's Clothing,"Rs. 30,000",Sanginashrestha,https://cdn.hamrobazaar.com/2671537_05225daea77c6bh6_large.jpg
 Bridal Lehenga Set,Women's Clothing,"Rs. 30,000",Sanginashrestha,https://cdn.hamrobazaar.com/2671537_05225daea77c6bh6_large.jpg
 Lingerie Set Tiger Print,Women's Clothing,Rs. 650,RahulJaiswal,https://cdn.hamrobazaar.com/2637764_0415fe81f86fgd35_large.jpg
 Leakage Proof Periods Penties,Women's Clothing,Rs. 300,KabitaPokharel,https://cdn.hamrobazaar.com/2644058_04202a9h6fgea56g_large.jpg
 Ladies Jacket,Women's Clothing,"Rs. 4,000",NiruGurung,https://cdn.hamrobazaar.com/2661157_0507a5b72def7h51_large.jpg
 Ladies Jacket,Women's Clothing,"Rs. 4,000",NiruGurung,https://cdn.hamrobazaar.com/2661157_0507a5b72def7h51_large.jpg
 Lingerie Set Tiger Print,Women's Clothing,Rs. 650,RahulJaiswal,https://cdn.hamrobazaar.com/2637764_0415fe81f86fgd35_large.jpg
 Leakage Proof Periods Penties,Women's Clothing,Rs. 300,KabitaPokharel,https://cdn.hamrobazaar.com/2644058_04202a9h6fgea56g_large.jpg
 Lady One Piece,Women's Clothing,Rs. 600,VeeruRooma,https://cdn.hamrobazaar.com/2663305_0510cd8f95f5behe_large.jpg
 Blue Denim Jacket,Women's Clothing,"Rs. 1,199",SushmaShop,https://cdn.hamrobazaar.com/2670603_052114hb6736eac7_large.jpg
 Hot Pant And T-shirt,Women's Clothing,"Rs. 2,500",PriyaGautam,https://cdn.hamrobazaar.com/2638216_0415g9f82hh4d52f_large.jpg
 Blue Dress,Women's Clothing,"Rs. 1,000",Anuuu,https://cdn.hamrobazaar.com/2616551_0331228d4ed1ac6f_large.jpg
 Lady One Piece,Women's Clothing,Rs. 600,VeeruRooma,https://cdn.hamrobazaar.com/2663305_0510cd8f95f5behe_large.jpg
 Blue Denim Jacket,Women's Clothing,"Rs. 1,199",SushmaShop,https://cdn.hamrobazaar.com/2670603_052114hb6736eac7_large.jpg
 Blue Dress,Women's Clothing,"Rs. 1,000",Anuuu,https://cdn.hamrobazaar.com/2616551_0331228d4ed1ac6f_large.jpg
 Lehenga,Women's Clothing,"Rs. 10,000",Sagar,https://cdn.hamrobazaar.com/2637052_04142cf8decg2331_large.jpg
 One Pice,Women's Clothing,Rs. 28,SaharaNepal,https://cdn.hamrobazaar.com/2670224_0520321dac18841c_large.jpg
 One Pice,Women's Clothing,Rs. 28,SaharaNepal,https://cdn.hamrobazaar.com/2670224_0520321dac18841c_large.jpg
 Hot Pant And T-shirt,Women's Clothing,"Rs. 2,500",PriyaGautam,https://cdn.hamrobazaar.com/2638216_0415g9f82hh4d52f_large.jpg
 Ladies,Women's Clothing,Rs. 950,RajeshNepal,https://cdn.hamrobazaar.com/2674109_0527acd1d79h97d7_large.jpg
 Lehenga,Women's Clothing,"Rs. 10,000",Sagar,https://cdn.hamrobazaar.com/2637052_04142cf8decg2331_large.jpg
 Ladies,Women's Clothing,Rs. 950,RajeshNepal,https://cdn.hamrobazaar.com/2674109_0527acd1d79h97d7_large.jpg
 Night Dress For Women Pajama Night Suit,Women's Clothing,"Rs. 1,850",ThePurpleArrow,https://cdn.hamrobazaar.com/2667989_0517g7fa69g2dfh8_large.jpg
 New Collection,Women's Clothing,"Rs. 1,280",Prithakshah,https://cdn.hamrobazaar.com/2664860_05135269bg2e7fgg_large.jpg
 Y2k Inspired One Shoulder Top,Women's Clothing,Rs. 700,SadikshyaRegmi,https://cdn.hamrobazaar.com/2666225_05148917hc7463c5_large.jpg
