Title,Category,Price,Seller_name,image
 Original Levis Jeans From California Sale,Men's Clothing,"Rs. 3,000",Seller,https://cdn.hamrobazaar.com/2671487_0522f89d7hddeacf_large.jpg
 Waterproof Gortex Jacket For Men,Contact,"Rs. 1,400",AfnoPahiran,https://cdn.hamrobazaar.com/2636732_0414c33h6gaeh1c6_large.jpg
 Original Pakistan Genuine Leather Jacket,Men's Clothing,"Rs. 6,500",Shivchhetri,https://cdn.hamrobazaar.com/2640621_04177e5dd4c1a32e_large.jpg
 Nike Men's Short,Men's Clothing,Rs. 850,Angfuri,https://cdn.hamrobazaar.com/2577609_0304e4ch8f88175h_large.jpg
 Waterproof Gortex Jacket For Men,Contact,"Rs. 1,400",AfnoPahiran,https://cdn.hamrobazaar.com/2636732_0414c33h6gaeh1c6_large.jpg
 Original Pakistan Genuine Leather Jacket,Men's Clothing,"Rs. 6,500",Shivchhetri,https://cdn.hamrobazaar.com/2640621_04177e5dd4c1a32e_large.jpg
 Nike Men's Short,Men's Clothing,Rs. 850,Angfuri,https://cdn.hamrobazaar.com/2577609_0304e4ch8f88175h_large.jpg
 Mens Orginal Jersey,Men's Clothing,"Rs. 3,500",BipinManandhar,https://cdn.hamrobazaar.com/2673310_0525g8e3a52cg5df_large.jpg
 Orginal High Copy Jeans Pant Matra 1700/- Satdobato Esp Jeans Tailors,Men's Clothing,"Rs. 1,700",ebinrana,https://cdn.hamrobazaar.com/2674685_05289b4affbacchd_large.jpg
 Mens Orginal Jersey,Men's Clothing,"Rs. 3,500",BipinManandhar,https://cdn.hamrobazaar.com/2673310_0525g8e3a52cg5df_large.jpg
 Orginal High Copy Jeans Pant Matra 1700/- Satdobato Esp Jeans Tailors,Men's Clothing,"Rs. 1,700",ebinrana,https://cdn.hamrobazaar.com/2674685_05289b4affbacchd_large.jpg
 Leather Jacket,Contact,"Rs. 5,000",Aneaud,https://cdn.hamrobazaar.com/2579206_0306c31ha13d35ah_large.jpg
 Nike Windproof Jacket On Sale,Men's Clothing,"Rs. 1,900",SuyogTuladhar,https://cdn.hamrobazaar.com/2511812_0121fehecaa6h5he_large.jpg
 Urgent Sale,Men's Clothing,"Rs. 2,000",Diplama,https://cdn.hamrobazaar.com/2657717_050233h577e4gc83_large.jpg
 Nike Full Sleeve Men Jacket For Winter,Men's Clothing,"Rs. 8,500",BishalThapa,https://cdn.hamrobazaar.com/2673203_05254ec37777d884_large.jpg
 Leather Jacket,Contact,"Rs. 5,000",Aneaud,https://cdn.hamrobazaar.com/2579206_0306c31ha13d35ah_large.jpg
 Nike Windproof Jacket On Sale,Men's Clothing,"Rs. 1,900",SuyogTuladhar,https://cdn.hamrobazaar.com/2511812_0121fehecaa6h5he_large.jpg
 Nike Full Sleeve Men Jacket For Winter,Men's Clothing,"Rs. 8,500",BishalThapa,https://cdn.hamrobazaar.com/2673203_05254ec37777d884_large.jpg
 U.s Polo Assn,Watches,"Rs. 7,999",AsheshShahi(Thakuri),https://cdn.hamrobazaar.com/2656165_0430d3g4ddacc677_large.jpg
 U.s Polo Assn,Watches,"Rs. 7,999",AsheshShahi(Thakuri),https://cdn.hamrobazaar.com/2656165_0430d3g4ddacc677_large.jpg
 Tissot 1853,Watches,"Rs. 75,000",Subinbaidar,https://cdn.hamrobazaar.com/2663444_051047hf823fhf8d_large.jpg
 Tag Heuer Calibre 16,Contact,"Rs. 1,70,000",Rajeshshah,https://cdn.hamrobazaar.com/2668974_0519bb2bef1cf5bb_large.jpg
 All Black Super Light Sports Shoes For Men,Men's Shoes,"Rs. 1,999",Shrestha,https://cdn.hamrobazaar.com/2628976_0408f4df3c4g7bhb_large.jpg
 Jordan 1 High Black Metallic,Men's Shoes,"Rs. 42,000",GovindaThapa,https://cdn.hamrobazaar.com/2637148_0414chhcdgag2c4e_large.jpg
 Jordan 1 High Black Metallic,Men's Shoes,"Rs. 42,000",GovindaThapa,https://cdn.hamrobazaar.com/2637148_0414chhcdgag2c4e_large.jpg
 Tissot 1853,Watches,"Rs. 75,000",Subinbaidar,https://cdn.hamrobazaar.com/2663444_051047hf823fhf8d_large.jpg
 Tag Heuer Calibre 16,Contact,"Rs. 1,70,000",Rajeshshah,https://cdn.hamrobazaar.com/2668974_0519bb2bef1cf5bb_large.jpg
 Airforce 1,Men's Shoes,"Rs. 2,450",Awajsinghthakuri,https://cdn.hamrobazaar.com/2662667_0509e79ee791151c_large.jpg
 All Black Super Light Sports Shoes For Men,Men's Shoes,"Rs. 1,999",Shrestha,https://cdn.hamrobazaar.com/2628976_0408f4df3c4g7bhb_large.jpg
 Tissot T-touch,Watches,"Rs. 47,000",HomeFurnishersPvt.Ltd,https://cdn.hamrobazaar.com/2654292_042889a9gcfage88_large.jpg
 Airforce 1,Men's Shoes,"Rs. 2,450",Awajsinghthakuri,https://cdn.hamrobazaar.com/2662667_0509e79ee791151c_large.jpg
 Swatch Watch,Watches,"Rs. 10,000",ubikarm,https://cdn.hamrobazaar.com/2660831_0507185a298883eh_large.jpg
 Air Jordan,Men's Shoes,"Rs. 2,450",Awajsinghthakuri,https://cdn.hamrobazaar.com/2672185_052497638ec555dg_large.jpg
 Swatch Watch,Watches,"Rs. 10,000",ubikarm,https://cdn.hamrobazaar.com/2660831_0507185a298883eh_large.jpg
 Tissot T-touch,Watches,"Rs. 47,000",HomeFurnishersPvt.Ltd,https://cdn.hamrobazaar.com/2654292_042889a9gcfage88_large.jpg
 Air Jordan,Men's Shoes,"Rs. 2,450",Awajsinghthakuri,https://cdn.hamrobazaar.com/2672185_052497638ec555dg_large.jpg
