Title,Category,Price,Seller_name,image
 Hyundai I10 Magna 1.2 New Shape Full Uption,Hyundai,"Rs. 15,15,000",Nabaraj,https://cdn.hamrobazaar.com/2639674_0416471afc9df19e_large.jpg
 Ford Aspire Brand New Automatic,Ford,"Rs. 23,50,000",Ramji,https://cdn.hamrobazaar.com/2588554_03286aba59811f45_large.jpg
 Omni Van Urgent Sales,Maruti Suzuki,"Rs. 2,82,000",BijayPrajapati,https://cdn.hamrobazaar.com/2646785_0422fec4abagfa86_large.jpg
 2003 Kia Sportage,Kia,"Rs. 9,75,000",RiteshShrestha,https://cdn.hamrobazaar.com/2633644_0411f28h91hfe1f4_large.jpg
 Ford Aspire Brand New Automatic,Ford,"Rs. 23,50,000",Ramji,https://cdn.hamrobazaar.com/2588554_03286aba59811f45_large.jpg
 2003 Kia Sportage,Kia,"Rs. 9,75,000",RiteshShrestha,https://cdn.hamrobazaar.com/2633644_0411f28h91hfe1f4_large.jpg
 Omni Van Urgent Sales,Maruti Suzuki,"Rs. 2,82,000",BijayPrajapati,https://cdn.hamrobazaar.com/2646785_0422fec4abagfa86_large.jpg
 Hyundai I10 Magna 1.2 New Shape Full Uption,Hyundai,"Rs. 15,15,000",Nabaraj,https://cdn.hamrobazaar.com/2639674_0416471afc9df19e_large.jpg
" Excellent (like New), Low Budget Fully Loaded Black Sedan",Hyundai,"Rs. 10,00,000",SantoshLohani,https://cdn.hamrobazaar.com/2663569_0511e5adfh1gfb1d_large.jpg
 Nissan Patrol Jeep On Sale,Nissan,"Rs. 24,00,000",ParasTimilsina,https://cdn.hamrobazaar.com/2652649_0426538hg9c6eg15_large.jpg
" Excellent (like New), Low Budget Fully Loaded Black Sedan",Hyundai,"Rs. 10,00,000",SantoshLohani,https://cdn.hamrobazaar.com/2663569_0511e5adfh1gfb1d_large.jpg
 Ecosport Trend,Ford,"Rs. 25,00,000",SawariMotorsPvt.Ltd,https://cdn.hamrobazaar.com/2672354_052464d1cb3dceec_large.jpg
 Sandesh Karki,Tata,"Rs. 9,75,000",UdashKarki,https://cdn.hamrobazaar.com/2657584_0502h6h9g6dc3g27_large.jpg
 Ecosport Trend,Ford,"Rs. 25,00,000",SawariMotorsPvt.Ltd,https://cdn.hamrobazaar.com/2672354_052464d1cb3dceec_large.jpg
 1996 Model Gypsy 4wd,Maruti Suzuki,"Rs. 7,00,000",SagarTimilsina,https://cdn.hamrobazaar.com/2658433_0503fhfc7294bfa1_large.jpg
 1996 Model Gypsy 4wd,Maruti Suzuki,"Rs. 7,00,000",SagarTimilsina,https://cdn.hamrobazaar.com/2658433_0503fhfc7294bfa1_large.jpg
 Mahindra Kuv K4 In Great Condition,Mahindra,"Rs. 19,50,000",Rj_sagar,https://cdn.hamrobazaar.com/2673328_052576ecc1d96bed_large.jpg
 Nissan Patrol Jeep On Sale,Nissan,"Rs. 24,00,000",ParasTimilsina,https://cdn.hamrobazaar.com/2652649_0426538hg9c6eg15_large.jpg
 Toyota Land Cruiser Prado,Toyota,"Rs. 28,00,000",Bisammaharjan,https://cdn.hamrobazaar.com/2587468_03118e4369917266_large.jpg
 Sandesh Karki,Tata,"Rs. 9,75,000",UdashKarki,https://cdn.hamrobazaar.com/2657584_0502h6h9g6dc3g27_large.jpg
 Suzuki Swift On Sale,Maruti Suzuki,"Rs. 22,00,000",juneshtwana,https://cdn.hamrobazaar.com/2674304_0527h7b2a8158e65_large.jpg
 Suzuki Swift On Sale,Maruti Suzuki,"Rs. 22,00,000",juneshtwana,https://cdn.hamrobazaar.com/2674304_0527h7b2a8158e65_large.jpg
 Toyota Corolla 1.6,Toyota,"Rs. 8,00,000",aryanakhtar,https://cdn.hamrobazaar.com/2674118_052731fc4bbf7b36_large.jpg
