Title,Category,Price,Seller_name,image
 Xr 150 On Sale,Honda,"Rs. 3,05,000",Pawansunar,https://cdn.hamrobazaar.com/2670766_052187a4ade68eb5_large.jpg
 Xlr Honda 200,Honda,"Rs. 3,50,000",Wangchyutamang,https://cdn.hamrobazaar.com/2671058_0522aaee64fa3cg1_large.jpg
 Royal Enfield Classic 350 Silver,Royal Enfield,"Rs. 2,59,999",buyitsellit,https://cdn.hamrobazaar.com/2672066_0523a531fee94g33_large.jpg
 Fz 25 Dual Abs 9000 Km,Yamaha,"Rs. 3,80,000",SanjayMahat,https://cdn.hamrobazaar.com/2673399_0526283b8e9ee9h1_large.jpg
 Xlr Honda 200,Honda,"Rs. 3,50,000",Wangchyutamang,https://cdn.hamrobazaar.com/2671058_0522aaee64fa3cg1_large.jpg
 Honda Cbr 250,Honda,"Rs. 2,40,000",Adhikari,https://cdn.hamrobazaar.com/2632731_0411c141e31eh64f_large.jpg
 Xr 150 On Sale,Honda,"Rs. 3,05,000",Pawansunar,https://cdn.hamrobazaar.com/2670766_052187a4ade68eb5_large.jpg
 Royal Enfield Classic 350 Silver,Royal Enfield,"Rs. 2,59,999",buyitsellit,https://cdn.hamrobazaar.com/2672066_0523a531fee94g33_large.jpg
 Crossfire Xz 250 Dual Exhaust,Crossfire,"Rs. 2,60,000",Lilsuke,https://cdn.hamrobazaar.com/2665098_0513g119f425ce8c_large.jpg
 Cbr 600rr 2019,Honda,"Rs. 30,00,000",Kritagyajungthapa,https://cdn.hamrobazaar.com/2550753_0215eg3233b24b3d_large.jpg
 Crossfire Xz 250 Dual Exhaust,Crossfire,"Rs. 2,60,000",Lilsuke,https://cdn.hamrobazaar.com/2665098_0513g119f425ce8c_large.jpg
 Pulsar 180,Bajaj,"Rs. 65,000",Sandeep,https://cdn.hamrobazaar.com/2669138_05209cga42edec2h_large.jpg
 Honda Cbr 250,Honda,"Rs. 2,40,000",Adhikari,https://cdn.hamrobazaar.com/2632731_0411c141e31eh64f_large.jpg
 Pulsar 180,Bajaj,"Rs. 65,000",Sandeep,https://cdn.hamrobazaar.com/2669138_05209cga42edec2h_large.jpg
 Jawa White,Other Motorcycle Brands,"Rs. 6,00,000",Lakpalama,https://cdn.hamrobazaar.com/2673571_05261b1c94aec6be_large.jpg
 Jawa White,Other Motorcycle Brands,"Rs. 6,00,000",Lakpalama,https://cdn.hamrobazaar.com/2673571_05261b1c94aec6be_large.jpg
 Cbr 600rr 2019,Honda,"Rs. 30,00,000",Kritagyajungthapa,https://cdn.hamrobazaar.com/2550753_0215eg3233b24b3d_large.jpg
 Duke 200 On Sale,KTM,"Rs. 2,00,000",karanprataprai,https://cdn.hamrobazaar.com/2630412_040994e8dga94d98_large.jpg
 Dio Scoter On Sale,Honda,"Rs. 85,000",Gaurabrai,https://cdn.hamrobazaar.com/2661867_0508e2hff5g2g1d4_large.jpg
 Ktm Rc 200 For Sale,KTM,"Rs. 3,25,000",Pawan,https://cdn.hamrobazaar.com/2672706_05249c935e2beabb_large.jpg
 Duke 200 On Sale,KTM,"Rs. 2,00,000",karanprataprai,https://cdn.hamrobazaar.com/2630412_040994e8dga94d98_large.jpg
