Title,Category,Price,Seller_name,image
 Mahindra Kuv 100 K4,Showroom - Cars,"Rs. 27,75,000",AgniIncorporatedPvt.Ltd,https://cdn.hamrobazaar.com/745140_04106g7bah9g2e29_large.jpg
 Kia Seltos Semi Option Htk+gsl (petrol),Showroom - Cars,"Rs. 53,40,000",ContinentalTradingEnterprise,https://cdn.hamrobazaar.com/2261828_08068425f2dh35d4_large.jpg
 Skoda Rapid Style Tsi At,Showroom - Cars,"Rs. 57,90,000",SKODAAUTONEPAL,https://cdn.hamrobazaar.com/2672001_05232a71g16ec3f3_large.jpg
 Renault Triber Rxe,Showroom - Cars,"Rs. 28,20,000",AdvancedAutomobiles,https://cdn.hamrobazaar.com/2076557_02069b2e243728fe_large.jpg
 Mahindra Kuv 100 K4,Showroom - Cars,"Rs. 27,75,000",AgniIncorporatedPvt.Ltd,https://cdn.hamrobazaar.com/745140_04106g7bah9g2e29_large.jpg
 Skoda Rapid Style Tsi At,Showroom - Cars,"Rs. 57,90,000",SKODAAUTONEPAL,https://cdn.hamrobazaar.com/2672001_05232a71g16ec3f3_large.jpg
 Renault Triber Rxe,Showroom - Cars,"Rs. 28,20,000",AdvancedAutomobiles,https://cdn.hamrobazaar.com/2076557_02069b2e243728fe_large.jpg
 Kia Seltos Semi Option Htk+gsl (petrol),Showroom - Cars,"Rs. 53,40,000",ContinentalTradingEnterprise,https://cdn.hamrobazaar.com/2261828_08068425f2dh35d4_large.jpg
 Toyota Corolla Cross 'high',Showroom - Cars,"Rs. 1,36,00,000",UnitedTradersSyndicate,https://cdn.hamrobazaar.com/2340680_1001b2e1hdf11681_large.jpg
 Toyota Corolla Cross 'high',Showroom - Cars,"Rs. 1,36,00,000",UnitedTradersSyndicate,https://cdn.hamrobazaar.com/2340680_1001b2e1hdf11681_large.jpg
 Jeep Wrangler Rubicon,Showroom - Cars,"Rs. 2,57,90,000",LifeAutomobile,https://cdn.hamrobazaar.com/2340714_1020544bf6f19c57_large.jpg
 Ford Ecosport 1.5l Ambiente Petrol,Showroom - Cars,"Rs. 36,90,000",GOAutomobilesPvt.Ltd,https://cdn.hamrobazaar.com/1816529_0625739df42g3f5c_large.jpg
 Ford Ecosport 1.5l Ambiente Petrol,Showroom - Cars,"Rs. 36,90,000",GOAutomobilesPvt.Ltd,https://cdn.hamrobazaar.com/1816529_0625739df42g3f5c_large.jpg
 Kia Seltos Full Option Gtx+(diesel At),Showroom - Cars,"Rs. 76,90,000",ContinentalTradingEnterprise,https://cdn.hamrobazaar.com/2261979_0806g3683fhh5h86_large.jpg
 Jeep Wrangler Rubicon,Showroom - Cars,"Rs. 2,57,90,000",LifeAutomobile,https://cdn.hamrobazaar.com/2340714_1020544bf6f19c57_large.jpg
 Mahindra Electric E2o Plus P4,Showroom - Cars,"Rs. 29,25,000",AgniEnergypvt.Ltd,https://cdn.hamrobazaar.com/1539409_10071eh9b5d58h15_large.jpg
 Kia Seltos Full Option Gtx+(diesel At),Showroom - Cars,"Rs. 76,90,000",ContinentalTradingEnterprise,https://cdn.hamrobazaar.com/2261979_0806g3683fhh5h86_large.jpg
 Mahindra Electric E2o Plus P4,Showroom - Cars,"Rs. 29,25,000",AgniEnergypvt.Ltd,https://cdn.hamrobazaar.com/1539409_10071eh9b5d58h15_large.jpg
 Tata Nexon Revtron Xe Petrol,Showroom - Cars,"Rs. 35,55,000",SipradiTradingPvt.Ltd,https://cdn.hamrobazaar.com/1311162_0225172d34e1cbcg_large.jpg
 Tata Nexon Revtron Xe Petrol,Showroom - Cars,"Rs. 35,55,000",SipradiTradingPvt.Ltd,https://cdn.hamrobazaar.com/1311162_0225172d34e1cbcg_large.jpg
 Nissan Magnite Xe Base,Showroom - Cars,"Rs. 29,49,000",PioneerMotoCorpPvtLtd,https://cdn.hamrobazaar.com/2562518_02239hb43hg3ee72_large.jpg
 Mg Zs Ev,Showroom - Cars,"Rs. 59,99,000",ParamountMotors,https://cdn.hamrobazaar.com/1889426_0923a9a7fbgc84bf_large.jpg
