Title,Category,Price,Seller_name,image
 Crossfire Rm 250 Twin,Showroom - Motorcycle,"Rs. 6,90,000",ClassicWheels,https://cdn.hamrobazaar.com/2140378_1225d866acfc4ee3_large.jpg
 Bajaj Pulsar 200ns (fi-abs),Showroom - Motorcycle,"Rs. 3,60,900",HansrajHulaschand,https://cdn.hamrobazaar.com/2025275_121864h6gbac3578_large.jpg
 Crossfire Rm 250 Twin,Showroom - Motorcycle,"Rs. 6,90,000",ClassicWheels,https://cdn.hamrobazaar.com/2140378_1225d866acfc4ee3_large.jpg
 Royal Enfield Interceptor 650cc Dual Channel Abs,Showroom - Motorcycle,"Rs. 12,49,000",DugarBrotherandSons,https://cdn.hamrobazaar.com/2052414_0109699fd4393cah_large.jpg
 Royal Enfield Interceptor 650cc Dual Channel Abs,Showroom - Motorcycle,"Rs. 12,49,000",DugarBrotherandSons,https://cdn.hamrobazaar.com/2052414_0109699fd4393cah_large.jpg
 Bajaj Dominar 250,Showroom - Motorcycle,"Rs. 4,89,900",HansrajHulaschand,https://cdn.hamrobazaar.com/2497078_0112d1917632bf86_large.jpg
 Yamaha Fzs Fi Dual Disc ( 2gs8/2gsc ),Showroom - Motorcycle,"Rs. 3,04,900",MAWEnterprisesPvt.Ltd.,https://cdn.hamrobazaar.com/1645100_0121h8b671aba25b_large.jpg
 Bajaj Dominar 250,Showroom - Motorcycle,"Rs. 4,89,900",HansrajHulaschand,https://cdn.hamrobazaar.com/2497078_0112d1917632bf86_large.jpg
 Yamaha Fzs Fi Dual Disc ( 2gs8/2gsc ),Showroom - Motorcycle,"Rs. 3,04,900",MAWEnterprisesPvt.Ltd.,https://cdn.hamrobazaar.com/1645100_0121h8b671aba25b_large.jpg
 Bajaj Pulsar 200ns (fi-abs),Showroom - Motorcycle,"Rs. 3,60,900",HansrajHulaschand,https://cdn.hamrobazaar.com/2025275_121864h6gbac3578_large.jpg
 Hanway Furious 150,Showroom - Motorcycle,"Rs. 3,35,000",AvashaInternationalPvt.,https://cdn.hamrobazaar.com/1820350_091588h45h73egc2_large.jpg
 Hanway Furious 150,Showroom - Motorcycle,"Rs. 3,35,000",AvashaInternationalPvt.,https://cdn.hamrobazaar.com/1820350_091588h45h73egc2_large.jpg
 Hartford Vr 220h,Showroom - Motorcycle,"Rs. 5,85,000",HartfordNepal,https://cdn.hamrobazaar.com/2397151_1109gf4d9872b525_large.jpg
 Hartford Vr 220h,Showroom - Motorcycle,"Rs. 5,85,000",HartfordNepal,https://cdn.hamrobazaar.com/2397151_1109gf4d9872b525_large.jpg
 Honda Dio Dlx,Showroom - Motorcycle,"Rs. 2,12,900",SyakarTradingCompany,https://cdn.hamrobazaar.com/1816741_0625a8e7ag38cfh4_large.jpg
 Honda Dio Dlx,Showroom - Motorcycle,"Rs. 2,12,900",SyakarTradingCompany,https://cdn.hamrobazaar.com/1816741_0625a8e7ag38cfh4_large.jpg
 Cfmoto St. Papio,Showroom - Motorcycle,"Rs. 2,41,500",CFMOTONepal,https://cdn.hamrobazaar.com/1554639_1028da8819a71d2g_large.jpg
 Cfmoto St. Papio,Showroom - Motorcycle,"Rs. 2,41,500",CFMOTONepal,https://cdn.hamrobazaar.com/1554639_1028da8819a71d2g_large.jpg
 Ktm 390 Adventure,Showroom - Motorcycle,"Rs. 9,99,900",HansrajHulaschand,https://cdn.hamrobazaar.com/2435742_120642gbca3agg41_large.jpg
 Ktm 390 Adventure,Showroom - Motorcycle,"Rs. 9,99,900",HansrajHulaschand,https://cdn.hamrobazaar.com/2435742_120642gbca3agg41_large.jpg
 Ktm Duke 200 Abs,Showroom - Motorcycle,"Rs. 5,39,900",HansrajHulaschand,https://cdn.hamrobazaar.com/1895907_0731e8e59a32fh8h_large.jpg
 Hanway Vbob 250,Showroom - Motorcycle,"Rs. 7,00,000",AvashaInternationalPvt.,https://cdn.hamrobazaar.com/2305363_09099994243fha5a_large.jpg
