Title,Category,Price,Seller_name,image
 Classic Bike On Sale.,Honda,"Rs. 32,000",Bikash,https://cdn.hamrobazaar.com/2579782_03113663g66bh875_large.jpg
 Ducati,Other Motorcycle Brands,"Rs. 14,00,000",Manasthapa,https://cdn.hamrobazaar.com/2601026_0320c9e3hd37g3cf_large.jpg
 Ducati,Other Motorcycle Brands,"Rs. 14,00,000",Manasthapa,https://cdn.hamrobazaar.com/2601026_0320c9e3hd37g3cf_large.jpg
 Ducati Monster 696 Anniversary Edition,Other Motorcycle Brands,"Rs. 14,50,000",Mr.Maharjan,https://cdn.hamrobazaar.com/2637725_0419e6899184e88f_large.jpg
 Ducati Monster 696 Anniversary Edition,Other Motorcycle Brands,"Rs. 14,50,000",Mr.Maharjan,https://cdn.hamrobazaar.com/2637725_0419e6899184e88f_large.jpg
 Nissan Sunny Full Option Car,Nissan,"Rs. 2,15,000",Suraj,https://cdn.hamrobazaar.com/2651672_0426ca8c726e894e_large.jpg
 Ecosport Trend,Ford,"Rs. 25,00,000",SawariMotorsPvt.Ltd,https://cdn.hamrobazaar.com/2672354_052464d1cb3dceec_large.jpg
 Swift 2014 Single Had Vxi Urgent Sale,Maruti Suzuki,"Rs. 18,70,000",Nirmaladhikari,https://cdn.hamrobazaar.com/2664505_0512gdcdfagaa143_large.jpg
 Nissan Sunny Full Option Car,Nissan,"Rs. 2,15,000",Suraj,https://cdn.hamrobazaar.com/2651672_0426ca8c726e894e_large.jpg
 Suzuki Vitara On Sales,Maruti Suzuki,"Rs. 9,50,000",Vijay,https://cdn.hamrobazaar.com/2612626_0507fe5fg6c199f2_large.jpg
 Suzuki Vitara On Sales,Maruti Suzuki,"Rs. 9,50,000",Vijay,https://cdn.hamrobazaar.com/2612626_0507fe5fg6c199f2_large.jpg
 Classic Bike On Sale.,Honda,"Rs. 32,000",Bikash,https://cdn.hamrobazaar.com/2579782_03113663g66bh875_large.jpg
 Swift 2014 Single Had Vxi Urgent Sale,Maruti Suzuki,"Rs. 18,70,000",Nirmaladhikari,https://cdn.hamrobazaar.com/2664505_0512gdcdfagaa143_large.jpg
 Ford Aspire Brand New Automatic,Ford,"Rs. 23,50,000",Ramji,https://cdn.hamrobazaar.com/2588554_03286aba59811f45_large.jpg
 Toyota Corolla 1.6,Toyota,"Rs. 8,00,000",aryanakhtar,https://cdn.hamrobazaar.com/2674118_052731fc4bbf7b36_large.jpg
 Ford Aspire Brand New Automatic,Ford,"Rs. 23,50,000",Ramji,https://cdn.hamrobazaar.com/2588554_03286aba59811f45_large.jpg
 63 Lot Gun Metal Gray Color Bullet,Royal Enfield,"Rs. 2,75,000",AnupPathak,https://cdn.hamrobazaar.com/2641206_0418b283fga66336_large.jpg
 Toyota Corolla 1.6,Toyota,"Rs. 8,00,000",aryanakhtar,https://cdn.hamrobazaar.com/2674118_052731fc4bbf7b36_large.jpg
 Sportage 2011 Awd,Kia,"Rs. 36,00,000",Kajikaji,https://cdn.hamrobazaar.com/2516071_0123a2b919hgab46_large.jpg
 Brand New Mitsubishi L200 Triton Automatic Pickup,Mitsubishi,"Rs. 97,00,000",Nabin,https://cdn.hamrobazaar.com/2638366_04154dd7e7h6288c_large.jpg
 Sportage 2011 Awd,Kia,"Rs. 36,00,000",Kajikaji,https://cdn.hamrobazaar.com/2516071_0123a2b919hgab46_large.jpg
