Title,Category,Price,Seller_name,image
 Oxygen Concentrator,Medical & Health Devices,"Rs. 90,000",SunilDhungana,https://cdn.hamrobazaar.com/2654379_0428g295b3g1eadg_large.jpg
 5l Oxygen Concentrator Brand New,Contact,"Rs. 85,000",Suman,https://cdn.hamrobazaar.com/2673622_0526364d7cg83886_large.jpg
 Oxymeter,Medical & Health Devices,Rs. 850,surajagrawal,https://cdn.hamrobazaar.com/2655233_042911c56952hc89_large.jpg
 Oxymeter,Medical & Health Devices,Rs. 850,surajagrawal,https://cdn.hamrobazaar.com/2655233_042911c56952hc89_large.jpg
 Pulse Oxymeter Sale Sale Sale,Contact,Rs. 850,David,https://cdn.hamrobazaar.com/2673492_05269477ff62e9g8_large.jpg
 Therapy Machine,Medical & Health Devices,"Rs. 1,65,000",Shreelaxmithapa,https://cdn.hamrobazaar.com/2673533_0526d792d98a8ge2_large.jpg
 Therapy Machine,Medical & Health Devices,"Rs. 1,65,000",Shreelaxmithapa,https://cdn.hamrobazaar.com/2673533_0526d792d98a8ge2_large.jpg
 Pulse Oxymeter Sale Sale Sale,Contact,Rs. 850,David,https://cdn.hamrobazaar.com/2673492_05269477ff62e9g8_large.jpg
 5l Oxygen Concentrator Brand New,Contact,"Rs. 85,000",Suman,https://cdn.hamrobazaar.com/2673622_0526364d7cg83886_large.jpg
 Oxygen Concerntrator On Sell,Medical & Health Devices,"Rs. 70,000",Ganesh,https://cdn.hamrobazaar.com/2671442_0522cefb924ghc39_large.jpg
 Bipap Mechine On Sell,Medical & Health Devices,"Rs. 1,10,000",Umesh,https://cdn.hamrobazaar.com/2673463_052688f218fh7472_large.jpg
 Cpap Machine,Medical & Health Devices,"Rs. 80,000",Sameer,https://cdn.hamrobazaar.com/2672798_0525e662f9h3d735_large.jpg
 Oxygen Concerntrator On Sell,Medical & Health Devices,"Rs. 70,000",Ganesh,https://cdn.hamrobazaar.com/2671442_0522cefb924ghc39_large.jpg
 Cpap Machine,Medical & Health Devices,"Rs. 80,000",Sameer,https://cdn.hamrobazaar.com/2672798_0525e662f9h3d735_large.jpg
 Oxygen Concentrator 5l Sysmed,Medical & Health Devices,"Rs. 1,10,000",Laxman,https://cdn.hamrobazaar.com/2674380_0527baffa88bgd91_large.jpg
 Oxygen Concentrator 5l Sysmed,Medical & Health Devices,"Rs. 1,10,000",Laxman,https://cdn.hamrobazaar.com/2674380_0527baffa88bgd91_large.jpg
 Pulse Oximeter Digital Fingertip- Blood Oxygen & Pulse Monitor,Medical & Health Devices,Rs. 999,GALAXYTRADER,https://cdn.hamrobazaar.com/2667566_0517f4a31d82b112_large.jpg
 Bipap Mechine On Sell,Medical & Health Devices,"Rs. 1,10,000",Umesh,https://cdn.hamrobazaar.com/2673463_052688f218fh7472_large.jpg
 Pulse Oximeter Digital Fingertip- Blood Oxygen & Pulse Monitor,Medical & Health Devices,Rs. 999,GALAXYTRADER,https://cdn.hamrobazaar.com/2667566_0517f4a31d82b112_large.jpg
 Oximeter,Medical & Health Devices,Rs. 800,WilsonShrestha,https://cdn.hamrobazaar.com/2672586_0524371bg3e2fbch_large.jpg
 Branded Oxygen Concentrator 1 Year Warranty,Medical & Health Devices,"Rs. 59,000",ChinaMarketNepal,https://cdn.hamrobazaar.com/2661877_05089g94haag6ba3_large.jpg
 Medical Oxygen Plant Setup In Nepal,Medical & Health Devices,"Rs. 95,00,000",ChinaMarketNepal,https://cdn.hamrobazaar.com/2665436_05136675hd77ccd3_large.jpg
