Title,Category,Price,Seller_name,image
 Ppe Suit,Contact,"Rs. 1,000",Kajalgrg,https://cdn.hamrobazaar.com/2675476_0529ef192ha981cd_large.jpg
 Kf94 Mask,Others,Rs. 300,BijendraRajKathayat,https://cdn.hamrobazaar.com/2672932_05257877fa94227h_large.jpg
 Ppe Corona Dress With Blue Taping,Others,Rs. 850,MDNuralam,https://cdn.hamrobazaar.com/2674152_05274gch5c675ac9_large.jpg
 Ppe Suit,Contact,"Rs. 1,000",Kajalgrg,https://cdn.hamrobazaar.com/2675476_0529ef192ha981cd_large.jpg
 3 Ply Nepalese Mask On Sell,Others,Rs. 100,RanjanSharma,https://cdn.hamrobazaar.com/2674756_0528d8efc6h56g3g_large.jpg
 Kf94 Mask,Others,Rs. 300,BijendraRajKathayat,https://cdn.hamrobazaar.com/2672932_05257877fa94227h_large.jpg
 3 Ply Nepalese Mask On Sell,Others,Rs. 100,RanjanSharma,https://cdn.hamrobazaar.com/2674756_0528d8efc6h56g3g_large.jpg
 Surgical Box Mask,Others,Rs. 195,KshitijPokhrel,https://cdn.hamrobazaar.com/2671673_0523g2h3273d95gg_large.jpg
 Ppe Corona Dress With Blue Taping,Others,Rs. 850,MDNuralam,https://cdn.hamrobazaar.com/2674152_05274gch5c675ac9_large.jpg
 Surgical Box Mask,Others,Rs. 195,KshitijPokhrel,https://cdn.hamrobazaar.com/2671673_0523g2h3273d95gg_large.jpg
 Electric Wheelchair,Contact,"Rs. 3,00,000",Cwang,https://cdn.hamrobazaar.com/2672554_0524c6d11dga9g9h_large.jpg
 Electric Wheelchair,Contact,"Rs. 3,00,000",Cwang,https://cdn.hamrobazaar.com/2672554_0524c6d11dga9g9h_large.jpg
 Sanitizer 100ml 300ml 500ml 5liter,Others,Rs. 10,sagar,https://cdn.hamrobazaar.com/2672687_0524h476a1gg31e7_large.jpg
 Sanitizer 100ml 300ml 500ml 5liter,Others,Rs. 10,sagar,https://cdn.hamrobazaar.com/2672687_0524h476a1gg31e7_large.jpg
 5ltr Jar Sanitizer,Others,Rs. 11,BishalThapa,https://cdn.hamrobazaar.com/2669420_0519b9h1ecdd232a_large.jpg
 5ltr Jar Sanitizer,Others,Rs. 11,BishalThapa,https://cdn.hamrobazaar.com/2669420_0519b9h1ecdd232a_large.jpg
 Box Mask,Contact,Rs. 250,Sujansujal,https://cdn.hamrobazaar.com/2674414_05276f5c4571bege_large.jpg
 Box Mask,Contact,Rs. 250,Sujansujal,https://cdn.hamrobazaar.com/2674414_05276f5c4571bege_large.jpg
" Surgical Supplies[mask, Sanitizers, Gloves, Face Shield, Oxymeter Etc]",Others,Rs. 11,BishalThapa,https://cdn.hamrobazaar.com/2671949_0523f266bah7ah53_large.jpg
" Surgical Supplies[mask, Sanitizers, Gloves, Face Shield, Oxymeter Etc]",Others,Rs. 11,BishalThapa,https://cdn.hamrobazaar.com/2671949_0523f266bah7ah53_large.jpg
 Normal 3 Layer Mask,Others,Rs. 150,sagar,https://cdn.hamrobazaar.com/2671595_0523geg478e9hdh2_large.jpg
