Title,Category,Price,Seller_name,image
 Udemy Course - Python Bootcamp From Zero To Hero,Interactive & Video Learning,"Rs. 1,200",SatishDhakal,https://cdn.hamrobazaar.com/2670932_052263g8afcdafcg_large.jpg
 Powerful Books That Can Change Your Life,Contact,Rs. 250,PrabinJoshi,https://cdn.hamrobazaar.com/2664480_0512e21da8hfdcag_large.jpg
 Think And Grow Rich,Book - Other,"Rs. 4,300",Himshikharbookscenter,https://cdn.hamrobazaar.com/2673971_0527da98f34e7e1e_large.jpg
 Udemy Course - Python Bootcamp From Zero To Hero,Interactive & Video Learning,"Rs. 1,200",SatishDhakal,https://cdn.hamrobazaar.com/2670932_052263g8afcdafcg_large.jpg
 Books For Sale,Book - Fiction,Rs. 600,Gan..,https://cdn.hamrobazaar.com/2460767_12213c2253g79gc7_large.jpg
 Powerful Books That Can Change Your Life,Contact,Rs. 250,PrabinJoshi,https://cdn.hamrobazaar.com/2664480_0512e21da8hfdcag_large.jpg
 Books For Sale,Book - Fiction,Rs. 600,Gan..,https://cdn.hamrobazaar.com/2460767_12213c2253g79gc7_large.jpg
 White Board,Stationery Items,Rs. 500,PrekshaRungta,https://cdn.hamrobazaar.com/2670655_05214a7664eb39ae_large.jpg
 Think And Grow Rich,Book - Other,"Rs. 4,300",Himshikharbookscenter,https://cdn.hamrobazaar.com/2673971_0527da98f34e7e1e_large.jpg
 White Board,Stationery Items,Rs. 500,PrekshaRungta,https://cdn.hamrobazaar.com/2670655_05214a7664eb39ae_large.jpg
 Udemy Course - Web Development Bootcamp,Interactive & Video Learning,"Rs. 1,200",SatishDhakal,https://cdn.hamrobazaar.com/2670934_0522ade6a2f7d33d_large.jpg
 Udemy Course - Web Development Bootcamp,Interactive & Video Learning,"Rs. 1,200",SatishDhakal,https://cdn.hamrobazaar.com/2670934_0522ade6a2f7d33d_large.jpg
 Books,Book - Fiction,"Rs. 6,000",Gan..,https://cdn.hamrobazaar.com/1642167_01187ddba6g8939b_large.jpg
 Books,Book - Fiction,"Rs. 6,000",Gan..,https://cdn.hamrobazaar.com/1642167_01187ddba6g8939b_large.jpg
