Title,Category,Price,Seller_name,image
 Welding Machine,Machinery,"Rs. 6,500",Ganeshkarki,https://cdn.hamrobazaar.com/2671517_05223egfdeee3cc5_large.jpg
 Mask Making Machine,Machinery,"Rs. 1,75,000",Sudarshan,https://cdn.hamrobazaar.com/2663976_0511cc81eg6g747h_large.jpg
 Office Table,Office Furniture & Fixtures,"Rs. 6,000",KarunShakya,https://cdn.hamrobazaar.com/2632780_041119g5a1f81d48_large.jpg
 Welding Machine,Machinery,"Rs. 6,500",Ganeshkarki,https://cdn.hamrobazaar.com/2671517_05223egfdeee3cc5_large.jpg
 Mask Making Machine,Machinery,"Rs. 17,25,000",Kapil,https://cdn.hamrobazaar.com/2656885_05013h37h6afa298_large.jpg
 Mask Making Machine,Machinery,"Rs. 1,75,000",Sudarshan,https://cdn.hamrobazaar.com/2663976_0511cc81eg6g747h_large.jpg
 Mask Making Machine,Machinery,"Rs. 17,25,000",Kapil,https://cdn.hamrobazaar.com/2656885_05013h37h6afa298_large.jpg
 Share For New Company,Business Offers,"Rs. 4,00,000",SujanGurung,
 Office Table,Office Furniture & Fixtures,"Rs. 6,000",KarunShakya,https://cdn.hamrobazaar.com/2632780_041119g5a1f81d48_large.jpg
 Share For New Company,Business Offers,"Rs. 4,00,000",SujanGurung,
 Investment In Share Market,Business Offers,Rs. 100,Dilkarki,
 Investment In Share Market,Business Offers,Rs. 100,Dilkarki,
 Office Table In Wholesale,Office Furniture & Fixtures,"Rs. 10,000",SantoshGautam,https://cdn.hamrobazaar.com/2635343_04136g86177b8bha_large.jpg
 Office Table In Wholesale,Office Furniture & Fixtures,"Rs. 10,000",SantoshGautam,https://cdn.hamrobazaar.com/2635343_04136g86177b8bha_large.jpg
 Planner Machine,Machinery,"Rs. 5,000",Ganeshkarki,https://cdn.hamrobazaar.com/2675711_0530eg4ec59c5668_large.jpg
 Planner Machine,Machinery,"Rs. 5,000",Ganeshkarki,https://cdn.hamrobazaar.com/2675711_0530eg4ec59c5668_large.jpg
 Soap Making Machine,Contact,"Rs. 5,50,000",krishnaKumar,https://cdn.hamrobazaar.com/2672263_052436b4hb4g48ae_large.jpg
 Soap Making Machine,Contact,"Rs. 5,50,000",krishnaKumar,https://cdn.hamrobazaar.com/2672263_052436b4hb4g48ae_large.jpg
 Ceramic Coating Business Opportunity,Contact,"Rs. 20,00,000",Janardhan,https://cdn.hamrobazaar.com/2670243_0520eaf7b788cgb2_large.jpg
 Ceramic Coating Business Opportunity,Contact,"Rs. 20,00,000",Janardhan,https://cdn.hamrobazaar.com/2670243_0520eaf7b788cgb2_large.jpg
 Spray Gun Electric,Machinery,"Rs. 3,400",Ganeshkarki,https://cdn.hamrobazaar.com/2675384_0529e1fdhbbb58c8_large.jpg
 Spray Gun Electric,Machinery,"Rs. 3,400",Ganeshkarki,https://cdn.hamrobazaar.com/2675384_0529e1fdhbbb58c8_large.jpg
 Aadhunik Battai Khor Bikri Mhaa,Equipments For Business,"Rs. 40,000",Sucil,https://cdn.hamrobazaar.com/2671630_0523872heg5h5f7d_large.jpg
 Aadhunik Battai Khor Bikri Mhaa,Equipments For Business,"Rs. 40,000",Sucil,https://cdn.hamrobazaar.com/2671630_0523872heg5h5f7d_large.jpg
 Compound Jali Athawa Kukhure Jali Chahiyema Samparka Garnu Hola...,Raw Materials,Rs. 160,Samuelkim,https://cdn.hamrobazaar.com/2672512_0524adb829f5h319_large.jpg
 Compound Jali Athawa Kukhure Jali Chahiyema Samparka Garnu Hola...,Raw Materials,Rs. 160,Samuelkim,https://cdn.hamrobazaar.com/2672512_0524adb829f5h319_large.jpg
 Meeting Table (premium/modern),Office Furniture & Fixtures,"Rs. 40,000",GOODBUY,https://cdn.hamrobazaar.com/2672384_0524gcc8ae7eefd3_large.jpg
 Meeting Table (premium/modern),Office Furniture & Fixtures,"Rs. 40,000",GOODBUY,https://cdn.hamrobazaar.com/2672384_0524gcc8ae7eefd3_large.jpg
" Investment At Export And Import Business, Return As Consignment Base",Business Offers,"Rs. 1,00,000",Mr.Kuber,https://cdn.hamrobazaar.com/2627561_0407483dgdf66c68_large.jpg
" Investment At Export And Import Business, Return As Consignment Base",Business Offers,"Rs. 1,00,000",Mr.Kuber,https://cdn.hamrobazaar.com/2627561_0407483dgdf66c68_large.jpg
 Wood Office Desk,Office Furniture & Fixtures,"Rs. 6,500",ChengYuTing,https://cdn.hamrobazaar.com/2672166_052463ece885cf3d_large.jpg
 Wood Office Desk,Office Furniture & Fixtures,"Rs. 6,500",ChengYuTing,https://cdn.hamrobazaar.com/2672166_052463ece885cf3d_large.jpg
 Office Furniture,Office Furniture & Fixtures,"Rs. 40,000",RekhaHamdan,https://cdn.hamrobazaar.com/2670872_0522d4bcb835g52a_large.jpg
 Office Furniture,Office Furniture & Fixtures,"Rs. 40,000",RekhaHamdan,https://cdn.hamrobazaar.com/2670872_0522d4bcb835g52a_large.jpg
 Chairs,Office Furniture & Fixtures,"Rs. 5,000",BibekKumarGupta,https://cdn.hamrobazaar.com/2377246_1026b72b92583d5c_large.jpg
 Chairs,Office Furniture & Fixtures,"Rs. 5,000",BibekKumarGupta,https://cdn.hamrobazaar.com/2377246_1026b72b92583d5c_large.jpg
 Office Chair / Net Chair / Study Chair / Revolving Chair,Office Furniture & Fixtures,"Rs. 7,900",MilanShrestha,https://cdn.hamrobazaar.com/2186563_06177ffg12fdcf69_large.jpg
 Office Chair / Net Chair / Study Chair / Revolving Chair,Office Furniture & Fixtures,"Rs. 7,900",MilanShrestha,https://cdn.hamrobazaar.com/2186563_06177ffg12fdcf69_large.jpg
