Title,Category,Price,Seller_name,image
 Office Table,Office Furniture & Fixtures,"Rs. 6,000",KarunShakya,https://cdn.hamrobazaar.com/2632780_041119g5a1f81d48_large.jpg
 Office Table In Wholesale,Office Furniture & Fixtures,"Rs. 10,000",SantoshGautam,https://cdn.hamrobazaar.com/2635343_04136g86177b8bha_large.jpg
 Meeting Table (premium/modern),Office Furniture & Fixtures,"Rs. 40,000",GOODBUY,https://cdn.hamrobazaar.com/2672384_0524gcc8ae7eefd3_large.jpg
 Office Table,Office Furniture & Fixtures,"Rs. 6,000",KarunShakya,https://cdn.hamrobazaar.com/2632780_041119g5a1f81d48_large.jpg
 Wood Office Desk,Office Furniture & Fixtures,"Rs. 6,500",ChengYuTing,https://cdn.hamrobazaar.com/2672166_052463ece885cf3d_large.jpg
 Office Table In Wholesale,Office Furniture & Fixtures,"Rs. 10,000",SantoshGautam,https://cdn.hamrobazaar.com/2635343_04136g86177b8bha_large.jpg
 Wood Office Desk,Office Furniture & Fixtures,"Rs. 6,500",ChengYuTing,https://cdn.hamrobazaar.com/2672166_052463ece885cf3d_large.jpg
 Office Furniture,Office Furniture & Fixtures,"Rs. 40,000",RekhaHamdan,https://cdn.hamrobazaar.com/2670872_0522d4bcb835g52a_large.jpg
 Meeting Table (premium/modern),Office Furniture & Fixtures,"Rs. 40,000",GOODBUY,https://cdn.hamrobazaar.com/2672384_0524gcc8ae7eefd3_large.jpg
 Office Furniture,Office Furniture & Fixtures,"Rs. 40,000",RekhaHamdan,https://cdn.hamrobazaar.com/2670872_0522d4bcb835g52a_large.jpg
 Chairs,Office Furniture & Fixtures,"Rs. 5,000",BibekKumarGupta,https://cdn.hamrobazaar.com/2377246_1026b72b92583d5c_large.jpg
 Chairs,Office Furniture & Fixtures,"Rs. 5,000",BibekKumarGupta,https://cdn.hamrobazaar.com/2377246_1026b72b92583d5c_large.jpg
 Office Chair / Net Chair / Study Chair / Revolving Chair,Office Furniture & Fixtures,"Rs. 7,900",MilanShrestha,https://cdn.hamrobazaar.com/2186563_06177ffg12fdcf69_large.jpg
 Office Chair / Net Chair / Study Chair / Revolving Chair,Office Furniture & Fixtures,"Rs. 7,900",MilanShrestha,https://cdn.hamrobazaar.com/2186563_06177ffg12fdcf69_large.jpg
 Office Or Home Desk Work/study Table,Office Furniture & Fixtures,"Rs. 1,900",Sanjeev,https://cdn.hamrobazaar.com/2626747_040727bha8bf7ca1_large.jpg
 Office Or Home Desk Work/study Table,Office Furniture & Fixtures,"Rs. 1,900",Sanjeev,https://cdn.hamrobazaar.com/2626747_040727bha8bf7ca1_large.jpg
 2 Office Table,Office Furniture & Fixtures,"Rs. 15,000",JeewanShrestha,https://cdn.hamrobazaar.com/2618378_04019hbae3e6bdh4_large.jpg
 2 Office Table,Office Furniture & Fixtures,"Rs. 15,000",JeewanShrestha,https://cdn.hamrobazaar.com/2618378_04019hbae3e6bdh4_large.jpg
 Fresh New Sofa On Sale,Office Furniture & Fixtures,"Rs. 5,500",Nimashrestha,https://cdn.hamrobazaar.com/2603631_0322c58f7fd1d3ah_large.jpg
 Fresh New Sofa On Sale,Office Furniture & Fixtures,"Rs. 5,500",Nimashrestha,https://cdn.hamrobazaar.com/2603631_0322c58f7fd1d3ah_large.jpg
 Slotted Angle Rack Size 6/3 Feet,Office Furniture & Fixtures,"Rs. 5,800",RajanJaiswal,https://cdn.hamrobazaar.com/2671569_052275d746e54126_large.jpg
 Slotted Angle Rack Size 6/3 Feet,Office Furniture & Fixtures,"Rs. 5,800",RajanJaiswal,https://cdn.hamrobazaar.com/2671569_052275d746e54126_large.jpg
 Chair,Office Furniture & Fixtures,"Rs. 5,000",Adhikary,https://cdn.hamrobazaar.com/2673214_0525b6b1ee9763ec_large.jpg
 Chair,Office Furniture & Fixtures,"Rs. 5,000",Adhikary,https://cdn.hamrobazaar.com/2673214_0525b6b1ee9763ec_large.jpg
 16+16computer Chair,Office Furniture & Fixtures,"Rs. 3,300",Rijamshrestha,https://cdn.hamrobazaar.com/2664094_0512ea2g46c124c8_large.jpg
 16+16computer Chair,Office Furniture & Fixtures,"Rs. 3,300",Rijamshrestha,https://cdn.hamrobazaar.com/2664094_0512ea2g46c124c8_large.jpg
 Office Table,Office Furniture & Fixtures,"Rs. 8,000",PrasiddhaFurniture,https://cdn.hamrobazaar.com/2649279_0423b2f8893ea57c_large.jpg
