Title,Category,Price,Seller_name,image
 Handmade 5160 High Carbon Steel 12 Inch Blade Knife,Tool & Small Machines,"Rs. 12,000",Shrestha,https://cdn.hamrobazaar.com/2672943_05254h18d461g673_large.jpg
 Drill Bit,Tool & Small Machines,Rs. 60,Ganeshkarki,https://cdn.hamrobazaar.com/2675431_052963gbcdb9g2e4_large.jpg
 450w Ingco Paint Spray Gun,Tool & Small Machines,"Rs. 3,500",SmartStore,https://cdn.hamrobazaar.com/2667356_0516haa5e11fe197_large.jpg
 Handmade 5160 High Carbon Steel 12 Inch Blade Knife,Tool & Small Machines,"Rs. 12,000",Shrestha,https://cdn.hamrobazaar.com/2672943_05254h18d461g673_large.jpg
 Trimmer Machine,Tool & Small Machines,"Rs. 2,600",Ganeshkarki,https://cdn.hamrobazaar.com/2675369_052936c99dfbbhh8_large.jpg
 Drill Bit,Tool & Small Machines,Rs. 60,Ganeshkarki,https://cdn.hamrobazaar.com/2675431_052963gbcdb9g2e4_large.jpg
 Trimmer Machine,Tool & Small Machines,"Rs. 2,600",Ganeshkarki,https://cdn.hamrobazaar.com/2675369_052936c99dfbbhh8_large.jpg
 Digital Earth Tester,Contact,"Rs. 15,000",kabinkc,https://cdn.hamrobazaar.com/2674168_05275d7fh2564787_large.jpg
 450w Ingco Paint Spray Gun,Tool & Small Machines,"Rs. 3,500",SmartStore,https://cdn.hamrobazaar.com/2667356_0516haa5e11fe197_large.jpg
 Digital Earth Tester,Contact,"Rs. 15,000",kabinkc,https://cdn.hamrobazaar.com/2674168_05275d7fh2564787_large.jpg
 Chisel For Mini Breaker 17x280,Tool & Small Machines,Rs. 325,Ganeshkarki,https://cdn.hamrobazaar.com/2675368_0529g8c69d69ch6c_large.jpg
 Chisel For Mini Breaker 17x280,Tool & Small Machines,Rs. 325,Ganeshkarki,https://cdn.hamrobazaar.com/2675368_0529g8c69d69ch6c_large.jpg
 Tools Set For House Hold All In 1 12v Cordless Drill,Tool & Small Machines,"Rs. 7,500",SmartStore,https://cdn.hamrobazaar.com/2555154_0218f9ed8g399bda_large.jpg
 Tools Set For House Hold All In 1 12v Cordless Drill,Tool & Small Machines,"Rs. 7,500",SmartStore,https://cdn.hamrobazaar.com/2555154_0218f9ed8g399bda_large.jpg
 Wood Works Tools Set,Tool & Small Machines,Rs. 150,KumarNakarmi,https://cdn.hamrobazaar.com/2628149_0407e66c14gf6g16_large.jpg
 Wood Works Tools Set,Tool & Small Machines,Rs. 150,KumarNakarmi,https://cdn.hamrobazaar.com/2628149_0407e66c14gf6g16_large.jpg
 Industrial Sewing Machine,Tool & Small Machines,"Rs. 37,500",siddiquesewingmachine,https://cdn.hamrobazaar.com/2514788_01227f983432dg28_large.jpg
