ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Allow customer reviews?,Categories,Regular price,Sale price,Images
,simple,glen-grant-12yrs-750ml,Glen Grant 12yrs 750ML,1,1,visible,"Glen Grant 12 Year Old is a remarkable single malt.","<div class=""description"">
                <p>Glen Grant 12 Year Old is a remarkable single malt.</p><p>With a bright, golden colour and pleasant aromas of orchard fruit, almond and citrus, this exceptional whisky delights the palate with exquisite and delicate notes of apple pie crust and caramel, and finishes with lingering fruit and subtle hints of spice. </p><p>Colour: Bright gold</p><p>Aroma: Honey, pear and apple with hints of almond and citrus</p><p>Taste: Apple pie crust, caramel and vanilla</p><p>Finish: Lingering fruit with subtle hints of spice</p>
            </div>",,,taxable,,1,100,1,Whisky > Malt Whisky,11082.400000000001,9895,https://cheers.com.np/uploads/products/128125298787635628003117447380658585023630.png
,simple,johnnie-walker-black-label-1l,Johnnie Walker Black Label 1L,1,1,visible,"A rich blend of over 40 whiskies at least 12 years of age, it can be enjoyed on the rocks, neat, or with a dash of water. For occasions big and small alike, Johnnie Walker Black Label has long been the perfect celebration of the next step.","<div class=""description"">
                <p>A rich blend of over 40 whiskies at least 12 years of age, it can be enjoyed on the rocks, neat, or with a dash of water. For occasions big and small alike, Johnnie Walker Black Label has long been the perfect celebration of the next step.</p>
            </div>",,,taxable,,1,100,1,Whisky > Premium Whisky,8512.0,7600,https://cheers.com.np/uploads/products/950503983794051441211859714866463206567.png
,simple,auchentoshan-12yrs-700ml,Auchentoshan 12yrs 700ML,1,1,visible,"Every last drop of this spectacular Scotch is triple distilled then matured for over twelve years. ","<div class=""description"">
                <p>Every last drop of this spectacular Scotch is triple distilled then matured for over twelve years. </p><p>Our Lowland Single Malt Whisky has the tempting aroma of toasted almonds, caramelised toffee and the signature smooth delicate Auchentoshan taste.</p><p>An intriguing 12 year old whisky that’s Distilled Different.</p>
            </div>",,,taxable,,1,100,1,Whisky > Malt Whisky,8064.000000000001,7200,https://cheers.com.np/uploads/products/502147323639060309491346665550451915828668.png
,simple,ardmore-1l,Ardmore 1L,1,1,visible,"A rich and creamy Whisky that has a full palate of peat, vanilla and sweet, ripe fruit. Creamy vanilla spice gives way to more overt smoky charcoal notes, especially with the addition of water. Smoke doesn’t dominate and is balanced by the sweet honey and spice flavours. ","<div class=""description"">
                <p>A rich and creamy Whisky that has a full palate of peat, vanilla and sweet, ripe fruit. Creamy vanilla spice gives way to more overt smoky charcoal notes, especially with the addition of water. Smoke doesn’t dominate and is balanced by the sweet honey and spice flavours. </p><p>Full bodied, silky mouth feel with a dry, tangy and lingering aftertaste, coupled with delicious spice notes.</p><p>A boistrous Scotch that will steal the show.</p>
            </div>",,,taxable,,1,100,1,Whisky > Malt Whisky,10897.6,9730,https://cheers.com.np/uploads/products/595495363880092393681809707215746346116074250.png
,simple,southern-comfort-1l,Southern Comfort 1L,1,1,visible,"Southern Comfort is the flavor of whiskey made comfortable: sweet, smooth and delicious, unlike any other. A fusion of peach, spices and Bourbon that captures the essence of America's South.","<div class=""description"">
                <p>Southern Comfort is the flavor of whiskey made comfortable: sweet, smooth and delicious, unlike any other. A fusion of peach, spices and Bourbon that captures the essence of America's South.</p><p>Tastes great with traditional lemonade, or with vodka, orange &amp; grenadine: the 'Alabama Slammer'.</p>
            </div>",,,taxable,,1,100,1,Liqueur,6764.800000000001,6040,https://cheers.com.np/uploads/products/560608868618172770608223461263719712791426052.png
,simple,remy-martin-vsop-1l,Remy Martin VSOP 1L,1,1,visible,"One of the world's favourite VSOPs. ","<div class=""description"">
                <p>One of the world's favourite VSOPs. </p><p>The Rémy Martin VSOP is acclaimed for its pedigree and smooth taste. The ultimate versatility of Fine Champagne, which will lift your drink to new heights.</p><p>With always he same signature style since its creation, this vibrant gold VSOP is smooth, rich and perfectly balanced, revealing ripe stone fruit and vanilla notes. </p><p>Enjoy it neat, on ice or in your cocktail of choice. </p>
            </div>",,,taxable,,1,100,1,Brandy > VSOP Cognac,19034.4,16995,https://cheers.com.np/uploads/products/6506173599669518215188002896457647536791.png
,simple,akira-sweet-white-750ml,Akira Sweet White 750ML,1,1,visible,"Akira Sweet White Wine is a medium-bodied, young and unoaked edition of wine with mineral notes made by fermenting fresh green grapes.","<div class=""description"">
                <p>Akira Sweet White Wine is a medium-bodied, young and unoaked edition of wine with mineral notes made by fermenting fresh green grapes.</p><p>It gives sweet sensation with harmonic and fruity overtone on palate.</p><p>Sequential racking and fine filtration during wine-making process makes the wine more sparkling.</p><p>Its taste can enhanced when consumed with roasted cashew, nuts, green salad, meat and poultry.</p>
            </div>",,,taxable,,1,100,1,Wine > Domestic Wine,756.0000000000001,675,https://cheers.com.np/uploads/products/57961227981006127871585522738610568133255.png
,simple,akira-sweet-white-4l-box,Akira Sweet White 4L Box,1,1,visible,"Akira Sweet White Wine is a medium-bodied, young and unoaked edition of wine with mineral notes made by fermenting fresh green grapes.","<div class=""description"">
                <p>Akira Sweet White Wine is a medium-bodied, young and unoaked edition of wine with mineral notes made by fermenting fresh green grapes.</p><p>It gives sweet sensation with harmonic and fruity overtone on palate.</p><p>Sequential racking and fine filtration during wine-making process makes the wine more sparkling.</p><p>Its taste can enhanced when consumed with roasted cashew, nuts, green salad, meat and poultry.</p>
            </div>",,,taxable,,1,100,1,Wine > Domestic Wine,3528.0000000000005,3150,https://cheers.com.np/uploads/products/6532413334506844911072531753172709374719.png
,simple,arna-extra-strong-can-500ml,Arna Extra Strong Can 500ML,1,1,visible,"Arna Strong is a crisp and incredibly balanced extra strong Nepali beer. ","<div class=""description"">
                <p>Arna Strong is a crisp and incredibly balanced extra strong Nepali beer. </p><p>Prepared by brewing barley and malt with pure water and international hops, this refreshing beer with its rejuvenating taste and exploding flavor is sure to give you that extra kick, and a lasting experience that will revive your every senses. </p>
            </div>",,,taxable,,1,100,1,Beer > Domestic Beer,229.60000000000002,205,https://cheers.com.np/uploads/products/3468171354421610286913014447776254973505.png
,simple,ardbeg-10yrs-700ml,Ardbeg 10yrs 700ML,1,1,visible,"Ardbeg 10 Year Old Single Malt is typical Islay (eye-la). Ardbeg is revered around the world as the peatiest, smokiest, most complex single malt of them all. Yet it does not flaunt the peat; rather it gives way to the natural sweetness of the malt to produce a whisky of perfect balance.","<div class=""description"">
                <p>Ardbeg 10 Year Old Single Malt is typical Islay (eye-la). Ardbeg is revered around the world as the peatiest, smokiest, most complex single malt of them all. Yet it does not flaunt the peat; rather it gives way to the natural sweetness of the malt to produce a whisky of perfect balance.</p><p>Most whiskies are chill-filtered to a strength of 40% abv. Ardbeg 10 Years is non-chilled filtered to a strength of 46%, thus retaining maximum flavour, while giving more body and depth.</p><p>On adding water, a little cloudiness may occur. This is perfectly natural and not a matter for concern,.</p>
            </div>",,,taxable,,1,100,1,Whisky > Malt Whisky,10001.6,8930,https://cheers.com.np/uploads/products/670909367018401678046673983819614211007.png
